Category,Type,Equipment,Exercise,Link,Pattern/Ability,Movement,Contraction,Orientation,Body Part,Parameter
Lower Body,Grinding,BB/SSB,BB HE Back Squat,https://youtu.be/L4SEKNDl3B4,Squat-Double Leg,Bilateral Squat,Dynamic,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Back Squat,https://youtu.be/wj6TWVuO7BA,Squat-Double Leg,Bilateral Squat,Dynamic,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Back Squat [Chains],https://youtu.be/PY9pSVg1iSM,Squat-Double Leg,Bilateral Squat,Dynamic,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Back Squat [Banded],https://youtu.be/tvFJfjLBjF8,Squat-Double Leg,Bilateral Squat,Dynamic,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Back Squat [ECC Tempo],https://youtu.be/5cMZ4YGtId4,Squat-Double Leg,Bilateral Squat,Eccentric,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Back Squat [ECC Drop],https://youtu.be/aIIeLqU--TA,Squat-Double Leg,Bilateral Squat,Eccentric,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Back Squat [Supramax ECC],https://youtu.be/uqnl2XS6b_A,Squat-Double Leg,Bilateral Squat,Eccentric,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Back Squat [ISO At Bottom],https://youtu.be/MsdvAILzwfQ,Squat-Double Leg,Bilateral Squat,Isometric,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Back Squat [IsoHold],https://youtu.be/c7tPj784UkQ,Squat-Double Leg,Bilateral Squat,Isometric,,Lower Body,
Lower Body,Grinding,BB/SSB,SSB Back Squat,https://youtu.be/lTqasUddDGE,Squat-Double Leg,Bilateral Squat,Dynamic,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Front Squat,https://youtu.be/EC_ciN6PN0o,Squat-Double Leg,Bilateral Squat,Dynamic,,Lower Body,
Lower Body,Grinding,BB/SSB,BB HE Front Squat,https://youtu.be/DpHJvGLncEo,Squat-Double Leg,Bilateral Squat,Dynamic,,Lower Body,
Lower Body,Grinding,BB/SSB,BB Front Squat [Chains],https://youtu.be/CuiUCQ_r8n0,Squat-Double Leg,Bilateral Squat,Dynamic,,Lower Body,
